Model: GOKU - pendulum created with 505764 parameters.
[Epoch 274/1600]  loss = 1.1099
[Epoch 275/1600]  loss = 1.3642
[Epoch 276/1600]  loss = 1.5387
[Epoch 277/1600]  loss = 1.3584
[Epoch 278/1600]  loss = 1.1852
[Epoch 279/1600]  loss = 1.3753
[Epoch 280/1600]  loss = 1.5617
[Epoch 281/1600]  loss = 1.6699
[Epoch 282/1600]  loss = 1.4490
[Epoch 283/1600]  loss = 1.4416
[Epoch 284/1600]  loss = 1.1593
[Epoch 285/1600]  loss = 1.2358
[Epoch 286/1600]  loss = 0.9624
[Epoch 287/1600]  loss = 0.7569
[Epoch 288/1600]  loss = 0.7200
[Epoch 289/1600]  loss = 0.9146
[Epoch 290/1600]  loss = 1.0408
[Epoch 291/1600]  loss = 1.0566
[Epoch 292/1600]  loss = 0.9710
[Epoch 293/1600]  loss = 1.2548
[Epoch 294/1600]  loss = 1.3503
[Epoch 295/1600]  loss = 1.1112
[Epoch 296/1600]  loss = 1.0589
[Epoch 297/1600]  loss = 1.0733
[Epoch 298/1600]  loss = 1.2967
[Epoch 299/1600]  loss = 1.5096
[Epoch 300/1600]  loss = 1.4653
[Epoch 301/1600]  loss = 1.6385
[Epoch 302/1600]  loss = 1.3031
[Epoch 303/1600]  loss = 1.0665
[Epoch 304/1600]  loss = 0.8919
[Epoch 305/1600]  loss = 0.9422
[Epoch 306/1600]  loss = 0.9719
[Epoch 307/1600]  loss = 1.3834
[Epoch 308/1600]  loss = 1.3284
[Epoch 309/1600]  loss = 1.3205
[Epoch 310/1600]  loss = 1.2270
[Epoch 311/1600]  loss = 1.0467
[Epoch 312/1600]  loss = 1.1880
[Epoch 313/1600]  loss = 0.8084
[Epoch 314/1600]  loss = 0.8437
[Epoch 315/1600]  loss = 0.8630
[Epoch 316/1600]  loss = 0.8133
[Epoch 317/1600]  loss = 0.6757
[Epoch 318/1600]  loss = 0.6764
[Epoch 319/1600]  loss = 0.8358
[Epoch 320/1600]  loss = 0.8324
[Epoch 321/1600]  loss = 0.8397
[Epoch 322/1600]  loss = 1.0130
[Epoch 323/1600]  loss = 1.2182
[Epoch 324/1600]  loss = 1.1889
[Epoch 325/1600]  loss = 1.2661
[Epoch 326/1600]  loss = 1.3640
[Epoch 327/1600]  loss = 1.0651
[Epoch 328/1600]  loss = 0.9477
[Epoch 329/1600]  loss = 0.9777
[Epoch 330/1600]  loss = 0.9544
[Epoch 331/1600]  loss = 0.7447
[Epoch 332/1600]  loss = 0.7339
[Epoch 333/1600]  loss = 0.7103
[Epoch 334/1600]  loss = 1.3082
[Epoch 335/1600]  loss = 1.0051
[Epoch 336/1600]  loss = 0.7392
[Epoch 337/1600]  loss = 0.6405
[Epoch 338/1600]  loss = 0.8416
[Epoch 339/1600]  loss = 1.0724
[Epoch 340/1600]  loss = 1.5858
[Epoch 341/1600]  loss = 1.3917
[Epoch 342/1600]  loss = 0.8851
[Epoch 343/1600]  loss = 0.7200
[Epoch 344/1600]  loss = 0.6377
[Epoch 345/1600]  loss = 0.6429
[Epoch 346/1600]  loss = 0.7885
[Epoch 347/1600]  loss = 0.8072
[Epoch 348/1600]  loss = 0.7972
[Epoch 349/1600]  loss = 0.7527
[Epoch 350/1600]  loss = 0.7330
[Epoch 351/1600]  loss = 0.6699
[Epoch 352/1600]  loss = 0.5576
[Epoch 353/1600]  loss = 0.6391
[Epoch 354/1600]  loss = 0.7309
[Epoch 355/1600]  loss = 0.7351
[Epoch 356/1600]  loss = 0.7811
[Epoch 357/1600]  loss = 0.6371
[Epoch 358/1600]  loss = 0.7302
[Epoch 359/1600]  loss = 0.7467
[Epoch 360/1600]  loss = 0.7513
[Epoch 361/1600]  loss = 1.1344
[Epoch 362/1600]  loss = 0.9133
[Epoch 363/1600]  loss = 0.8552
[Epoch 364/1600]  loss = 1.0361
[Epoch 365/1600]  loss = 1.1398
[Epoch 366/1600]  loss = 0.9347
[Epoch 367/1600]  loss = 0.9595
[Epoch 368/1600]  loss = 1.0455
[Epoch 369/1600]  loss = 0.9155
[Epoch 370/1600]  loss = 0.9422
[Epoch 371/1600]  loss = 0.9245
[Epoch 372/1600]  loss = 0.8955
[Epoch 373/1600]  loss = 0.7772
[Epoch 374/1600]  loss = 0.8641
[Epoch 375/1600]  loss = 0.8169
[Epoch 376/1600]  loss = 0.7539
[Epoch 377/1600]  loss = 0.9641
[Epoch 378/1600]  loss = 1.0110
[Epoch 379/1600]  loss = 0.9376
[Epoch 380/1600]  loss = 0.8925
[Epoch 381/1600]  loss = 0.8604
[Epoch 382/1600]  loss = 0.7381
[Epoch 383/1600]  loss = 0.6236
[Epoch 384/1600]  loss = 0.6614
[Epoch 385/1600]  loss = 0.6900
[Epoch 386/1600]  loss = 0.5647
[Epoch 387/1600]  loss = 0.6869
[Epoch 388/1600]  loss = 0.6032
[Epoch 389/1600]  loss = 0.6026
[Epoch 390/1600]  loss = 0.6416
[Epoch 391/1600]  loss = 0.4703
[Epoch 392/1600]  loss = 0.5513
[Epoch 393/1600]  loss = 0.6272
[Epoch 394/1600]  loss = 0.6057
[Epoch 395/1600]  loss = 0.9491
[Epoch 396/1600]  loss = 1.1050
[Epoch 397/1600]  loss = 0.9426
[Epoch 398/1600]  loss = 0.8365
[Epoch 399/1600]  loss = 0.9861
[Epoch 400/1600]  loss = 1.0323
[Epoch 401/1600]  loss = 0.7760
[Epoch 402/1600]  loss = 0.7230
[Epoch 403/1600]  loss = 0.6956
[Epoch 404/1600]  loss = 0.6770
[Epoch 405/1600]  loss = 0.6063
[Epoch 406/1600]  loss = 0.5603
[Epoch 407/1600]  loss = 0.5432
[Epoch 408/1600]  loss = 0.5920
[Epoch 409/1600]  loss = 0.7130
[Epoch 410/1600]  loss = 1.3568
[Epoch 411/1600]  loss = 1.2057
[Epoch 412/1600]  loss = 1.2276
[Epoch 413/1600]  loss = 0.9559
[Epoch 414/1600]  loss = 0.7593
[Epoch 415/1600]  loss = 0.6545
[Epoch 416/1600]  loss = 0.7391
[Epoch 417/1600]  loss = 0.5961
[Epoch 418/1600]  loss = 0.7018
[Epoch 419/1600]  loss = 0.5999
[Epoch 420/1600]  loss = 0.6537
[Epoch 421/1600]  loss = 0.7716
[Epoch 422/1600]  loss = 0.5301
[Epoch 423/1600]  loss = 0.5132
[Epoch 424/1600]  loss = 0.6243
[Epoch 425/1600]  loss = 0.8317
[Epoch 426/1600]  loss = 1.1458
[Epoch 427/1600]  loss = 1.2554
[Epoch 428/1600]  loss = 1.0952
[Epoch 429/1600]  loss = 0.7082
[Epoch 430/1600]  loss = 0.7724
[Epoch 431/1600]  loss = 0.6623
[Epoch 432/1600]  loss = 0.6469
[Epoch 433/1600]  loss = 0.7685
[Epoch 434/1600]  loss = 0.5804
[Epoch 435/1600]  loss = 0.5575
[Epoch 436/1600]  loss = 0.5766
[Epoch 437/1600]  loss = 0.5648
[Epoch 438/1600]  loss = 0.6930
[Epoch 439/1600]  loss = 0.6896
[Epoch 440/1600]  loss = 0.6956
[Epoch 441/1600]  loss = 0.6582
[Epoch 442/1600]  loss = 0.6067
[Epoch 443/1600]  loss = 0.7924
[Epoch 444/1600]  loss = 0.7068
[Epoch 445/1600]  loss = 0.6451
[Epoch 446/1600]  loss = 0.6158
[Epoch 447/1600]  loss = 0.6932
[Epoch 448/1600]  loss = 0.5994
[Epoch 449/1600]  loss = 0.6300
[Epoch 450/1600]  loss = 0.7391
[Epoch 451/1600]  loss = 0.9121
[Epoch 452/1600]  loss = 0.6543
[Epoch 453/1600]  loss = 0.5397
[Epoch 454/1600]  loss = 0.6518
[Epoch 455/1600]  loss = 0.6098
[Epoch 456/1600]  loss = 0.7100
